package;class;method name;;;capabilities;;
java.util.prefs;WindowsPreferences;WindowsRegCreateKeyEx;int[];int,byte[] ;OS;;
java.util.prefs;WindowsPreferences;WindowsRegDeleteKey;int;int,byte[] ;OS;;
java.util.prefs;WindowsPreferences;WindowsRegDeleteValue;int;int,byte[] ;OS;;
java.util.prefs;WindowsPreferences;WindowsRegEnumKeyEx;byte[];int,int,int ;OS;;
java.util.prefs;WindowsPreferences;WindowsRegEnumValue;byte[];int,int,int ;OS;;
java.util.prefs;WindowsPreferences;WindowsRegFlushKey;int;int ;OS;;
java.util.prefs;WindowsPreferences;WindowsRegOpenKey;int[];int,byte[],int ;OS;;
java.util.prefs;WindowsPreferences;WindowsRegQueryInfoKey;int[];int ;OS;;
java.util.prefs;WindowsPreferences;WindowsRegQueryValueEx;byte[];int,byte[] ;OS;;
java.util.prefs;WindowsPreferences;WindowsRegSetValueEx;int;int,byte[],byte[] ;OS;;
sun.misc;GC;maxObjectInspectionAge;long; ;NATIVE;;
sun.misc;Perf;highResCounter;long; ;NATIVE;;
sun.misc;Perf;highResFrequency;long; ;NATIVE;;
sun.misc;Perf;registerNatives;void; ;NATIVE;;
sun.misc;VMSupport;initAgentProperties;java.util.Properties;java.util.Properties ;NATIVE;;
java.io;ObjectInputStream;bytesToDoubles;void;byte[],int,double[],int,int ;NATIVE;;
java.io;ObjectInputStream;bytesToFloats;void;byte[],int,float[],int,int ;NATIVE;;
java.io;ObjectOutputStream;doublesToBytes;void;double[],int,byte[],int,int ;NATIVE;;
java.io;ObjectOutputStream;floatsToBytes;void;float[],int,byte[],int,int ;NATIVE;;
java.io;ObjectStreamClass;hasStaticInitializer;boolean;java.lang.Class ;NATIVE;;
java.io;ObjectStreamClass;initNative;void; ;NATIVE;;
java.lang;Class;desiredAssertionStatus0;boolean;java.lang.Class ;NATIVE;;
java.lang;Class;getComponentType;java.lang.Class; ;NATIVE;;
java.lang;Class;isArray;boolean; ;NATIVE;;
java.lang;Class;isAssignableFrom;boolean;java.lang.Class ;NATIVE;;
java.lang;Class;isInstance;boolean;java.lang.Object ;NATIVE;;
java.lang;Class;isInterface;boolean; ;NATIVE;;
java.lang;Class;isPrimitive;boolean; ;NATIVE;;
sun.misc;Perf;attach;java.nio.ByteBuffer;java.lang.String,int,int ;DEBUG;;
sun.misc;Perf;createByteArray;java.nio.ByteBuffer;java.lang.String,int,int,byte[],int ;DEBUG;;
sun.misc;Perf;createLong;java.nio.ByteBuffer;java.lang.String,int,int,long ;DEBUG;;
sun.misc;Perf;detach;void;java.nio.ByteBuffer ;DEBUG;;
sun.awt.windows;WClipboard;closeClipboard;void; ;GUI,CLIPBOARD;;
sun.awt.windows;WClipboard;getClipboardData;byte[];long ;GUI,CLIPBOARD;;
sun.awt.windows;WClipboard;getClipboardFormats;long[]; ;GUI,CLIPBOARD;;
sun.awt.windows;WClipboard;init;void; ;NATIVE;;
sun.awt.windows;WClipboard;openClipboard;void;sun.awt.datatransfer.SunClipboard ;GUI,CLIPBOARD;;
